product_id,product_name,main_category,sub_category,price(OMR),about_product,img_link
B00N1U7JXM,"3M Post-it Sticky Note Cube, 200 Sheets (4 Colors x 50 Sheets) | 3"" x 3"" Size | For notes, reminders, study, school and organizing",OfficeProducts,Paper,0.735,"Material: Paper; Size: 3""x3""|Colour:Multicolour|Add creativity to your communication|Bring variety and personality to your note|Colour code your tasks",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41yNejBMf+L._SY300_SX300_.jpg
B09LJ116B5,"Redmi Note 11T 5G (Aquamarine Blue, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!",Electronics,Smartphones,88.196,"Processor: MediaTek Dimensity 810 Octa-core 5G processor based on 6nm process with HyperEngine 2.0 and clock speed up to 2.4GHz;|Display: 6.6 inch FHD+ (2400x1080) Dot display with 90Hz high refresh rate and adaptive refresh rate technology; 240Hz touch sampling rate;|Camera: 50MP High resolution primary camera f/1.8 with 8MP Ultra-wide sensor| 16 MP Front camera|Battery: 5000mAh battery with 33W Pro fast charging support|Memory, Storage : 6GB LPDDR4X RAM | 128GB UFS2.2 Internal storage|Headphones jack:3.5 mm,Display type:LCD,Operating system:MIUI 12.5 based on Android 11",https://m.media-amazon.com/images/I/417k0DCw0GL._SX300_SY300_QL70_ML2_.jpg
B09YLX91QR,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, White)",Computers,Cables,1.676,"Fast Charging Cable - The cable can support upto a charging speed of 3A making it the optimal cable for Quick Charge / Rapid Charge and Turbo Charge devices.|Reversible Connector â€“ It has reversible type c connector that can be plugged in any direction, upside or downside.|Durable Cable- Using only premium quality materials and a tough, durable PVC Coating, the Ambrane USB cable is built for connecting and disconnecting over and over again without signal loss.|High Speed Data Transfer- 480 Mbps data transfer speed allows you to sync the data to the computer or other USB devices within few seconds.|Genuine USB Connectors- We use only certified and high-quality connectors ensuring not only the safety of the connected device but also reliable charging and high-speed data transmission.",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VemHkewfL._SX300_SY300_QL70_FMwebp_.jpg
B09YDFDVNS,"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Red",Electronics,Smartphones,7.136,"All-new redesigned Nokia mobile which is familiar and easy to use|Island style keypad phone with white key lettering|High quality 1.77â€ screen|Pre-loaded games including the classic keypad mobile phone game - Snake|Enjoy all-new wireless FM radio|Listen to music on the MP3 Player and save your favourite songs on the built in memory card slot|Save 2,000 contacts and up to 500 SMS on your Nokia 105 Plus mobile phone",https://m.media-amazon.com/images/I/41o7qy-j6KL._SX300_SY300_QL70_ML2_.jpg
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers,Cables,1.659,"Cable Length: 6 Feet (1. 82 Meters)|Gold-Plated Connectors Resist Corrosion For Signal Purity|Smaller Connector Designed To Fit Smaller Spaces|1 Year Limited Warranty|Supports Up To 480 Mbps Data Transmission Speed|Micro Usb Charging Cable For Android Phones|Ideal For Charging Android Phones And Tablets Or Connecting Pc Peripherals Such As Hard Drives, Printers, And More",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31nrDWDT8+L._SX300_SY300_.jpg
B0B2C5MJN6,Hisense 126 cm (50 inches) Bezelless Series 4K Ultra HD Smart LED Google TV 50A6H (Black),Electronics,Televisions,230.958,"Resolution : 4K Ultra HD (3840x2160) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: 3 HDMI ports to connect set top box, Blu Ray players, gaming console | 2 USB ports to connect hard drives and other USB devices | Dual-band Wi-Fi | Bluetooth 5.1|Sound : 24 Watts Output | Dolby Atmos | Dolby Digital|Smart TV features: Google TV | Watchlist | Google Assistant | Far Filed Vioce Control | Chromecast, Miracast, DLNA | Auto Low Latency Mode for VRR | Supported Apps : Netflix, Youtube, Prime Video, Hotstar, SonyLiv, Hungama, JioCinema, Zee5, Eros Now|Display :10 bit Panel | Bezel-less Floating Display Design | ALLM | Decoding of Dolby Vision, HDR10, HLG | 1 Billion Colours | MEMC|Warranty Information: 2 Year Comprehensive Warranty on product provided by Hisense from date of purchase.|Installation: For requesting installation/wall mounting/demo of this product once delivered, please directly call Hisense Support for assistance (Please visit Hisense Website for Toll Free Numbers) and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description",https://m.media-amazon.com/images/I/41uqZs26+oL._SY300_SX300_.jpg
B01LYLJ99X,HP v222w 64GB USB 2.0 Pen Drive (Silver),Computers,PenDrives,5.46,"The high gloss durable metal finish of the HP v222w makes for a perfect complement to ultrabooks.|Approximate the length of a quarter and the included key-fob makes it perfect for on-the Ã¢go storing!|Offers a sleek and slim way to store and share your music, photos, files and more.|For product related query contact brand customer support for faster resolution",https://m.media-amazon.com/images/I/31cOcZC4n7L._SX300_SY300_QL70_FMwebp_.jpg
B09NTHQRW3,"InstaCuppa Portable Blender for Smoothie, Milk Shakes, Crushing Ice and Juices, USB Rechargeable Personal Blender Machine for Kitchen with 2000 mAh Rechargeable Battery, 150 Watt Motor, 400 ML",Home,SmallKitchenAppliances,10.496,"Blends Fast and Quick: Our personal blender is powered with a 150 Watt motor and fitted with 304 stainless steel blades so you can blend your shakes, smoothies, crush ice and anything else in seconds|Durable and Wireless: Built with a 2000 mAh rechargeable battery, our portable blender has a long battery life and can be charged by any device that has a USB port. Charging cable included|Lightweight and Portable: Blend anywhere at any time with our smoothie blender that can be easily stowed and used in places like your office and gym or while you're camping and traveling|Versatile and Multi-Purpose: Perfect for making anything from protein shakes to smoothies to milkshakes and even baby food - our rechargeable blender makes drink preparation effortless and fun|Hassle-Free Cleaning: With a cup that detaches easily, cleaning is a breeze with our USB blender - you can also just add water and soap to the blender and run it a few times to clean it thoroughly",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/312FrvLA2RL._SX300_SY300_QL70_FMwebp_.jpg
B09T3H12GV,"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black",Computers,"Keyboards,Mice",10.492,"Movement Detection Technology (Mouse): Optical Buttons Qty: 03 Movement Resolution: 1000 dpi|Hot Keys Function: Volume, Mute Keyboard Technology: Plunger|Device Type: Keyboard and mouse set|Wireless Receiver: USB Wireless Receiver Adjustable Height: Yes|Interface: 2.4 GHz Type Keyboard/Mouse : Wireless",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/415yl0HeDQL._SY300_SX300_QL70_FMwebp_.jpg
B0B72BSW7K,SKE Bed Study Table Portable Wood Multifunction Laptop-Table Lapdesk for Children Bed Foldabe Table Work with Tablet Slot & Cup Holder Brown Black,Computers,LaptopAccessories,2.936,"> â˜… â˜…------->EASY TO FOLD OUT: Clever folding design allows the legs to fold flat so you can easily put it behind the door or the corner of home when not in use. No need to install everytime you use.|>â˜…â˜…------->LARGE, STABLE, PORTABLE FOLDING TABLE: The folding size of our laptop desk is about 60cm(L) * 39.5cm(W) * 27cm(H) such that it fits upto 11-17inch laptops and also a space for mouse. Built-in iPad stand groove for holding ipad or kindle. Our table comes with a table cup holder to keep your favorite drink within reach.|>â˜… â˜…------->MULTI-PURPOSE LAPTOP DESK: Laptop bed tray is perfect lap desks for work, games, reading, eating and school from the comfort of your bed, floor, sofa or couch. Great work from home gift & bed accessories!|> â˜… â˜…------->NON-SLIP BOTTOM DESIGN: The steel feet are covered with black sponge for good anti-slip effect to keep your laptop safe without slipping when in tilted position. Also provides you a comfort and stability while using.|>â˜… â˜…------->ENVIRONMENTAL FRIENDLY MATERIALS: Laptop Bed Table is made of MDF solid wood particle board, safe and environmentally friendly. The surface is smooth, non-toxic, not easy to stretch, moisture-proof, scratch-resistant, high-temperature resistant. While the legs are made of aluminum alloy tube with powder coated finishing work, it is more strong, sturdy and curved ergonomic tabletop designed for sitting. This table will last for a lifetime and will remain corrosion-free",https://m.media-amazon.com/images/I/41EbxurQIDL._SX300_SY300_QL70_FMwebp_.jpg
